epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.784,2.20121,16.9687,0.85753,0.00048,0.12008,0.02472,0.00957,2.68851,9.17491,1.06248,0.00047484,0.00047484,0.00047484
2,992.058,2.49921,12.8345,0.89119,0.00044,0.06729,0.02651,0.01314,2.70811,6.55202,1.11147,0.00090409,0.00090409,0.00090409
3,1477.44,2.60981,8.18387,0.92342,0.00208,0.0911,0.0116,0.00461,2.91698,5.5958,1.19518,0.00128618,0.00128618,0.00128618
4,1971.05,2.63258,5.2755,0.9571,0.01355,0.09627,0.04757,0.0193,2.87775,4.31961,1.12463,0.00121679,0.00121679,0.00121679
5,2447.63,2.504,4.03395,0.89723,0.57745,0.0911,0.065,0.03162,2.17737,3.46369,1.01464,0.00114606,0.00114606,0.00114606
6,2943.23,2.49696,3.56757,0.91847,0.06343,0.02899,0.03897,0.01776,2.76073,3.50158,1.06883,0.00107532,0.00107532,0.00107532
7,3489.91,2.39819,3.23801,0.88595,0.61771,0.05824,0.06317,0.02696,2.54889,3.71383,1.08629,0.00100459,0.00100459,0.00100459
8,3943.31,2.31133,3.04338,0.87748,0.52364,0.04784,0.06386,0.03702,2.46049,3.45643,1.02726,0.000933851,0.000933851,0.000933851
9,4389.41,2.18686,2.77202,0.83237,0.21124,0.05503,0.08845,0.04199,2.10526,3.28746,0.92585,0.000863116,0.000863116,0.000863116
10,4830.01,2.23594,2.7319,0.81653,0.22759,0.0528,0.07033,0.02819,2.34335,3.01406,0.9415,0.00079238,0.00079238,0.00079238
11,5267.66,1.96217,2.44622,0.75915,0.45562,0.06729,0.0724,0.02265,2.24686,3.3732,0.93241,0.000721645,0.000721645,0.000721645
12,5706.61,1.89259,2.26303,0.75285,0.06163,0.30504,0.12767,0.06052,2.2513,3.11828,0.96363,0.000650909,0.000650909,0.000650909
13,6145.22,1.84317,2.25198,0.72789,0.58214,0.06211,0.10947,0.04821,2.04491,3.37639,0.95084,0.000580174,0.000580174,0.000580174
14,6587.74,1.81942,2.16939,0.72123,0.6467,0.05234,0.11087,0.05218,2.25198,3.11857,0.93955,0.000509438,0.000509438,0.000509438
15,7031.8,1.73142,2.05811,0.70233,0.07455,0.28123,0.14839,0.08755,1.96234,3.02978,0.88429,0.000438703,0.000438703,0.000438703
16,7491.55,1.84717,2.13559,0.75066,0.3574,0.18737,0.16794,0.07987,2.05211,3.11222,0.89408,0.000367967,0.000367967,0.000367967
17,7930.58,1.65779,1.99997,0.69756,0.71761,0.0911,0.19499,0.1051,2.0728,2.93446,0.87961,0.000297232,0.000297232,0.000297232
18,8378.17,1.75829,2.05177,0.72369,0.53383,0.12008,0.19875,0.10537,1.97756,2.88407,0.846,0.000226497,0.000226497,0.000226497
19,8826.73,1.70933,2.04792,0.71726,0.67575,0.0766,0.14778,0.09927,1.95834,2.89323,0.84563,0.000155761,0.000155761,0.000155761
20,9285.56,1.72573,2.00655,0.70741,0.55822,0.1294,0.15991,0.08615,1.97245,2.97454,0.84957,8.50255e-05,8.50255e-05,8.50255e-05
