epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3209.52,2.57593,2.90982,1.95481,0.15162,0.27061,0.0943,0.03666,2.18378,2.67737,1.83978,0.000662577,0.000662577,0.000662577
2,5788.06,2.06195,2.03839,1.71596,0.47852,0.38868,0.36897,0.15794,1.94427,1.90226,1.71586,0.00119765,0.00119765,0.00119765
3,8367.32,1.9441,1.81195,1.67492,0.50079,0.40795,0.40512,0.18212,1.88353,1.80845,1.66398,0.00160072,0.00160072,0.00160072
4,10946.4,1.85739,1.69829,1.61952,0.53154,0.42525,0.44479,0.20489,1.81976,1.69212,1.69822,0.001406,0.001406,0.001406
5,13551,1.77588,1.56112,1.57482,0.57815,0.46339,0.49353,0.2424,1.69283,1.51914,1.51766,0.001208,0.001208,0.001208
6,16139.2,1.72736,1.49246,1.54492,0.6236,0.47151,0.5259,0.26121,1.69101,1.48235,1.56152,0.00101,0.00101,0.00101
7,18725.7,1.67603,1.43223,1.50783,0.68857,0.52713,0.59752,0.31091,1.60271,1.33716,1.48252,0.000812,0.000812,0.000812
8,21308,1.63243,1.35847,1.48824,0.70483,0.51274,0.60601,0.3352,1.54662,1.30241,1.45382,0.000614,0.000614,0.000614
9,23898.2,1.58281,1.30547,1.45176,0.7248,0.55644,0.64214,0.35722,1.49241,1.23637,1.417,0.000416,0.000416,0.000416
10,26494.9,1.54491,1.2604,1.41864,0.74814,0.579,0.66886,0.37984,1.455,1.15676,1.39401,0.000218,0.000218,0.000218
